PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,HMBEC_ AVERAGE_AREA,HMBEC_ AVERAGE_INTENSITY,HMBEC_ AVERAGE_TOTAL_INTENSITY,HMBEC_ AVERAGE_INTENSITY_STDDEV,HMBEC_ AVERAGE_PERIMETER,HMBEC_ AVERAGE_SHAPE_FACTOR,HMBEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HMBEC_ AVERAGE_LENGTH,HMBEC_ AVERAGE_BREADTH,HMBEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_NUMBER_CELLS_MEASURED,HDLEC_ AVERAGE_AREA,HDLEC_ AVERAGE_INTENSITY,HDLEC_ AVERAGE_TOTAL_INTENSITY,HDLEC_ AVERAGE_INTENSITY_STDDEV,HDLEC_ AVERAGE_PERIMETER,HDLEC_ AVERAGE_SHAPE_FACTOR,HDLEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HDLEC_ AVERAGE_LENGTH,HDLEC_ AVERAGE_BREADTH,HDLEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_NUMBER_CELLS_MEASURED,HMBEC_ ZSCORE_AREA,HMBEC_ ZSCORE_INTENSITY,HMBEC_ ZSCORE_TOTAL_INTENSITY,HMBEC_ ZSCORE_INTENSITY_STDDEV,HMBEC_ ZSCORE_PERIMETER,HMBEC_ ZSCORE_SHAPE_FACTOR,HMBEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HMBEC_ ZSCORE_LENGTH,HMBEC_ ZSCORE_BREADTH,HMBEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_AREA,HDLEC_ ZSCORE_INTENSITY,HDLEC_ ZSCORE_TOTAL_INTENSITY,HDLEC_ ZSCORE_INTENSITY_STDDEV,HDLEC_ ZSCORE_PERIMETER,HDLEC_ ZSCORE_SHAPE_FACTOR,HDLEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HDLEC_ ZSCORE_LENGTH,HDLEC_ ZSCORE_BREADTH,HDLEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_MORPHOLOGY_CLUSTER
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,Raw morphology values averaged across the 2 replicates. Average cell area in pixels.,Raw morphology values averaged across the 2 replicates. Average intensity of phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average total phalloidin intensity across all cells.,Raw morphology values averaged across the 2 replicates. Average of standard deviation of phalloidin intensity measurements.,Raw morphology values averaged across the 2 replicates. Average perimeter of cells.,Raw morphology values averaged across the 2 replicates. Average shape factor value for all cells.,Raw morphology values averaged across the 2 replicates. Average Ellipitical Form Factor value for all cells.,Raw morphology values averaged across the 2 replicates. Average cell length.,Raw morphology values averaged across the 2 replicates. Average cell width.,Raw morphology values averaged across the 2 replicates. Average texture difference moment for phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average texture inverse difference moment for phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average number of cells measured.,Raw morphology values averaged across the 2 replicates. Average cell area in pixels.,Raw morphology values averaged across the 2 replicates. Average intensity of phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average total phalloidin intensity across all cells.,Raw morphology values averaged across the 2 replicates. Average of standard deviation of phalloidin intensity measurements.,Raw morphology values averaged across the 2 replicates. Average perimeter of cells.,Raw morphology values averaged across the 2 replicates. Average shape factor value for all cells.,Raw morphology values averaged across the 2 replicates. Average Ellipitical Form Factor value for all cells.,Raw morphology values averaged across the 2 replicates. Average cell length.,Raw morphology values averaged across the 2 replicates. Average cell width.,Raw morphology values averaged across the 2 replicates. Average texture difference moment for phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average texture inverse difference moment for phalloidin staining.,Raw morphology values averaged across the 2 replicates. Average number of cells measured.,Z-score normalised morphology values. Average cell area in pixels.,Z-score normalised morphology values. Average intensity of phalloidin staining.,Z-score normalised morphology values. Average total phalloidin intensity across all cells.,Z-score normalised morphology values. Average of standard deviation of phalloidin intensity measurements.,Z-score normalised morphology values. Average perimeter of cells.,Z-score normalised morphology values. Average shape factor value for all cells.,Z-score normalised morphology values. Average Ellipitical Form Factor value for all cells.,Z-score normalised morphology values. Average cell length.,Z-score normalised morphology values. Average cell width.,Z-score normalised morphology values. Average texture difference moment for phalloidin staining.,Z-score normalised morphology values. Average texture inverse difference moment for phalloidin staining.,Z-score normalised morphology values. Average cell area in pixels.,Z-score normalised morphology values. Average intensity of phalloidin staining.,Z-score normalised morphology values. Average total phalloidin intensity across all cells.,Z-score normalised morphology values. Average of standard deviation of phalloidin intensity measurements.,Z-score normalised morphology values. Average perimeter of cells.,Z-score normalised morphology values. Average shape factor value for all cells.,Z-score normalised morphology values. Average Ellipitical Form Factor value for all cells.,Z-score normalised morphology values. Average cell length.,Z-score normalised morphology values. Average cell width.,Z-score normalised morphology values. Average texture difference moment for phalloidin staining.,Z-score normalised morphology values. Average texture inverse difference moment for phalloidin staining.,Cluster number
1,313053905,,Unspecified,,,,M-008719-00,318,NUDT2,1,G03,9163.98,1371.76,1.24964e+07,458.477,424.97,0.614721,1.45674,146.16,102.901,0.686408,0.8479,123.75,5554.17,1353.42,7.63044e+06,382.366,326.714,0.628631,1.40976,111.866,81.9375,0.848164,0.812139,241,-0.45,-0.47,-0.53,0.1,-0.57,1.02,-0.99,-0.66,-0.21,-0.71,1.49,-0.71,-0.39,-0.61,-0.48,-0.98,1.38,-1.15,-1.1,-0.48,-0.53,0.9,1
2,313053908,,Unspecified,,,,M-003104-03,558,AXL,1,A10,8335.88,1776.42,1.31402e+07,498.475,401.592,0.601504,1.48285,137.991,96.4799,0.742562,0.837116,116,5501.82,1698.94,9.4462e+06,430.215,323.264,0.631596,1.39893,110.798,81.2607,0.980172,0.782916,224.25,-0.96,0.91,-0.32,0.64,-1.21,0.33,-0.66,-1.28,-1.03,-0.09,0.88,-0.8,0.95,0.54,0.16,-1.18,1.58,-1.39,-1.28,-0.64,1.17,-0.79,1
3,313053909,,Unspecified,,,,M-011222-01,662,BNIP1,1,A11,10035,1472.8,1.38717e+07,403.088,438.81,0.611961,1.48811,151.643,105.223,0.824025,0.815004,91,5830.26,1544.29,9.06315e+06,398.039,338.584,0.61759,1.44142,116.486,83.2308,0.907307,0.779737,209.5,0.09,-0.12,-0.09,-0.66,-0.19,0.88,-0.59,-0.24,0.09,0.82,-0.38,-0.24,0.35,0.29,-0.27,-0.3,0.65,-0.46,-0.34,-0.17,0.23,-0.98,1
4,313053911,,Unspecified,,,,M-005442-01,728,C5AR1,1,C05,8959.39,1245.12,1.07665e+07,391.416,421.085,0.596955,1.50936,145.665,99.7787,0.837913,0.804719,134.5,5266.81,1562.79,8.17477e+06,431.638,321.677,0.616162,1.43476,110.363,79.8755,0.970528,0.787727,232.75,-0.2,-0.9,-0.94,-0.82,-0.22,0.04,-0.22,-0.24,-0.14,0.75,-1.04,-1.2,0.42,-0.27,0.18,-1.27,0.56,-0.6,-1.35,-0.97,1.05,-0.51,1
5,313053926,,Unspecified,,,,M-003137-02,2322,FLT3,1,D11,11179.7,1343,1.33898e+07,468.59,472.625,0.581033,1.5052,161.019,110.526,0.753204,0.837986,93,5679.52,1400.02,8.06069e+06,396.295,331.766,0.624479,1.44151,114.481,81.9049,0.896401,0.796263,206.25,0.31,-0.36,-0.05,0.52,0.38,-0.19,-0.57,0.24,0.55,-0.16,0.91,-0.49,-0.21,-0.34,-0.29,-0.69,1.11,-0.45,-0.67,-0.49,0.09,-0.02,1
6,313053943,,Unspecified,,,,M-006776-04,5297,PI4KA,1,G07,8004.08,1270.41,9.23842e+06,364.438,402.21,0.591043,1.60667,142.334,92.2035,0.778051,0.82348,146,5391.04,1292.6,7.01942e+06,318.184,321.907,0.626104,1.44623,111.57,79.0544,0.840794,0.797832,218.75,-1.17,-0.82,-1.58,-1.19,-1.2,-0.23,0.94,-0.95,-1.58,0.31,0.1,-0.98,-0.63,-1,-1.34,-1.25,1.22,-0.35,-1.15,-1.17,-0.63,0.07,1
7,313053944,,Unspecified,,,,M-006777-03,5298,PI4KB,2,F10,8962.91,1778.45,1.50121e+07,493.667,426.413,0.598483,1.50745,148.12,101.717,0.753992,0.815919,108,5529.55,1606.65,8.72683e+06,426.867,329.111,0.613833,1.4433,113.511,80.7902,0.931385,0.791677,159.5,-0.57,0.92,0.28,0.58,-0.53,0.17,-0.34,-0.51,-0.36,0.04,-0.33,-0.75,0.59,0.08,0.11,-0.84,0.4,-0.42,-0.83,-0.75,0.54,-0.28,1
8,313053949,,Unspecified,,,,M-004659-00,5593,PRKG2,1,H06,8177.28,1579.43,1.25617e+07,464.39,412.603,0.583087,1.62524,145.973,93.3844,0.74734,0.836764,147.25,5479.95,1647.78,9.04996e+06,434.112,327.559,0.61796,1.4559,113.182,80.4717,0.91426,0.79943,225,-1.06,0.24,-0.51,0.18,-0.91,-0.65,1.18,-0.67,-1.43,-0.03,0.86,-0.83,0.75,0.29,0.21,-0.93,0.68,-0.14,-0.89,-0.83,0.32,0.17,1
9,313053964,,Unspecified,,,,M-017312-01,8613,PPAP2B,1,G06,7866.72,1808.3,1.36367e+07,465.907,390.892,0.622883,1.41699,133.856,97.4235,0.777207,0.808563,139.5,5060.75,1583.69,7.8614e+06,409.755,312.76,0.622823,1.42763,107.747,77.8853,0.892437,0.795302,197.25,-1.25,1.02,-0.16,0.2,-1.51,1.46,-1.51,-1.6,-0.91,0.3,-0.74,-1.55,0.5,-0.47,-0.11,-1.78,1,-0.76,-1.79,-1.45,0.04,-0.07,1
10,313053973,,Unspecified,,,,M-009217-01,9957,HS3ST1,1,E04,9697.41,1489.19,1.39601e+07,395.909,455.402,0.567723,1.54876,156.764,105.361,0.810239,0.800359,124.25,5437.81,1311.93,7.13522e+06,371.076,326.605,0.610881,1.43299,111.982,80.7567,0.871249,0.791148,244.5,-0.12,-0.07,-0.06,-0.76,0.27,-1.46,0.2,0.16,0.11,0.67,-1.21,-0.91,-0.56,-0.93,-0.63,-0.99,0.2,-0.64,-1.09,-0.76,-0.23,-0.31,1
11,313053984,,Unspecified,,,,M-020420-01,22870,PPP6R1,1,H08,10297.9,1227.59,1.27537e+07,404.88,434.742,0.641919,1.40488,147.064,107.298,0.696422,0.837186,82,5663.21,1327.29,7.47395e+06,377.236,322.323,0.654123,1.37629,109.755,81.7856,0.881205,0.795228,169.25,0.26,-0.96,-0.45,-0.63,-0.3,2.46,-1.66,-0.59,0.36,-0.6,0.88,-0.52,-0.5,-0.71,-0.55,-1.23,3.08,-1.88,-1.45,-0.51,-0.1,-0.08,1
12,313053986,,Unspecified,,,,M-003984-01,23247,KIAA0556,1,E08,8665.01,1588.8,1.30919e+07,469.607,415.536,0.603183,1.47334,143.808,100.899,0.783115,0.819932,113,5259.71,1321.82,6.93535e+06,383.23,320.596,0.613553,1.45593,111.048,78.8144,0.949168,0.790525,203.5,-0.76,0.27,-0.34,0.25,-0.83,0.41,-0.78,-0.84,-0.46,0.36,-0.1,-1.21,-0.52,-1.05,-0.47,-1.33,0.38,-0.14,-1.24,-1.22,0.77,-0.35,1
13,313053988,,Unspecified,,,,M-020061-02,23451,SF3B1,2,G07,8083.42,1492.26,1.1858e+07,484.008,405.31,0.593545,1.52051,140.532,95.3251,0.783165,0.824846,95.75,5681.27,957.229,5.38001e+06,399.25,330.68,0.624127,1.41826,112.624,82.3769,0.88088,0.807325,168,-1.12,-0.06,-0.74,0.45,-1.11,-0.1,-0.17,-1.09,-1.18,0.36,0.18,-0.49,-1.94,-2.04,-0.25,-0.75,1.08,-0.96,-0.98,-0.37,-0.11,0.62,1
14,313053990,,Unspecified,,,,M-004162-02,23678,SGK3,2,A11,12761.8,1603.97,1.87786e+07,491.619,518.081,0.573524,1.68192,183.345,114.416,0.65904,0.82913,73.5,5533.84,1767.01,9.70146e+06,459.107,330.775,0.602843,1.47653,114.63,80.5049,0.94045,0.786154,226.5,1.79,0.32,1.5,0.55,2,-1.15,1.92,2.19,1.27,-1.01,0.42,-0.74,1.21,0.7,0.54,-0.75,-0.33,0.31,-0.65,-0.82,0.66,-0.6,1
15,313053991,,Unspecified,,,,M-005029-01,23683,PRKD3,1,H05,8325.61,1398.16,1.13202e+07,397.948,404.581,0.613477,1.51475,140.758,95.9338,0.764214,0.823928,127.25,5214.32,1606.76,8.42171e+06,432.699,315.914,0.63027,1.41586,108.691,78.8679,0.882918,0.801024,224.75,-0.97,-0.38,-0.91,-0.73,-1.13,0.96,-0.24,-1.07,-1.1,0.15,0.13,-1.29,0.59,-0.11,0.19,-1.6,1.49,-1.02,-1.63,-1.21,-0.08,0.26,1
16,313053993,,Unspecified,,,,M-013026-00,26136,TES,2,B11,13196,1610.34,2.05842e+07,497.927,525.794,0.583237,1.55971,182.157,120.101,0.694496,0.823562,64.75,5953.6,1588.11,9.5597e+06,420.523,341.208,0.615834,1.44737,117.349,83.6207,0.930587,0.788404,162.75,2.06,0.35,2.08,0.64,2.21,-0.64,0.34,2.1,2,-0.62,0.11,-0.03,0.52,0.61,0.03,-0.15,0.53,-0.33,-0.2,-0.08,0.53,-0.47,1
17,313054009,,Unspecified,,,,M-003113-01,55359,STYK1,2,A09,9147.62,1634.37,1.41827e+07,489.784,418.11,0.626427,1.41025,142.875,104.283,0.706262,0.83354,112.5,5131.15,1625.32,8.45226e+06,434.513,316.863,0.619151,1.41127,108.869,79.295,0.887637,0.798848,174.75,-0.46,0.43,0.01,0.52,-0.76,1.64,-1.59,-0.91,-0.03,-0.49,0.67,-1.43,0.66,-0.09,0.22,-1.54,0.75,-1.12,-1.6,-1.11,-0.02,0.13,1
18,313054012,,Unspecified,,,,M-023101-01,57703,CWC22,1,C09,10991.7,1152.01,9.74989e+06,369.136,453.548,0.595355,1.5253,155.141,105.767,0.880128,0.799967,85.75,5851.56,1218.87,6.58956e+06,391.644,338.536,0.615893,1.44516,116.145,83.4484,0.928391,0.798881,153.75,-0.49,-1.38,-1.72,-1.25,-0.58,0.59,-0.27,-0.57,-0.44,1.67,-1.52,-0.2,-0.92,-1.27,-0.36,-0.3,0.54,-0.37,-0.4,-0.12,0.5,0.13,1
19,313054014,,Unspecified,,,,M-008979-01,63893,UBE2O,2,C11,9926.38,1778.63,1.71796e+07,493.519,451.521,0.586982,1.59102,159.043,104.007,0.743026,0.817593,93.5,5183.51,1787.08,9.2921e+06,445.118,319.024,0.61776,1.43021,109.93,79.0704,0.93563,0.788284,205.75,0.03,0.92,0.98,0.58,0.16,-0.44,0.74,0.33,-0.07,-0.08,-0.23,-1.34,1.29,0.44,0.36,-1.42,0.66,-0.7,-1.43,-1.16,0.6,-0.48,1
20,313054020,,Unspecified,,,,M-016725-00,64843,ISL2,1,E06,10112.8,1662.76,1.67921e+07,502.806,448.696,0.601121,1.50718,155.636,107.342,0.75638,0.816152,124.75,5703.15,1625.01,9.33555e+06,422.401,329.748,0.631705,1.40012,112.559,82.8532,0.970561,0.786815,233,0.14,0.52,0.86,0.7,0.09,0.3,-0.34,0.07,0.36,0.07,-0.31,-0.45,0.66,0.47,0.05,-0.81,1.59,-1.36,-0.99,-0.26,1.05,-0.57,1
21,313054022,,Unspecified,,,,M-017594-00,79605,PGBD5,1,H02,9262.77,1505.98,1.32112e+07,448.866,434.685,0.585438,1.59028,152.177,99.525,0.82391,0.810357,127.5,6640.91,1756.09,1.11519e+07,464.822,344.306,0.633527,1.40233,115.568,85.2732,0.917905,0.798925,159.5,-0.39,-0.01,-0.3,-0.03,-0.3,-0.52,0.73,-0.2,-0.64,0.82,-0.64,-0.6,1.71,1.19,1.01,-1.06,1.25,-0.87,-1.18,-0.63,0.6,0.05,1
22,313054028,,Unspecified,,,,M-017735-01,113091,PTH2,2,F09,8513.27,1822.19,1.39299e+07,614.065,407.635,0.611578,1.48144,140.891,98.4616,0.602995,0.854586,93.75,5372.55,1440.25,7.70533e+06,434.453,323.835,0.619264,1.42453,110.987,80.85,0.909975,0.803267,157.25,-0.85,1.07,-0.07,2.22,-1.05,0.86,-0.67,-1.06,-0.78,-1.64,1.87,-1.2,-0.62,-1.16,-0.34,-1.39,1.01,-1.02,-1.51,-0.94,0.42,0.09,1
23,313053907,,Unspecified,,,,M-003201-04,472,ATM,1,A07,8123.42,1489.61,1.15621e+07,396.916,408.191,0.586833,1.54228,141.987,95.706,0.806631,0.818356,127,5954.38,1290.63,7.86159e+06,378.226,345.384,0.601357,1.46795,118.89,83.8926,0.814622,0.804408,200.25,-1.3,0.06,-0.82,-0.37,-1.32,-0.05,-0.21,-1.28,-1.39,1.27,-0.82,-0.03,-0.64,-0.47,-0.53,0.09,-0.43,0.13,0.06,-0.01,-0.96,0.45,2
