PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HMBEC,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HDLEC,AVERAGE_CELL_COUNT_HMBEC,AVERAGE_CELL_COUNT_HDLEC,MIGRATION_BIN_HMBEC,MIGRATION_BIN_HDLEC,AVERAGE_CELL_COUNT_BIN_HMBEC,AVERAGE_CELL_COUNT_BIN_HDLEC,DOMINANT_CELL_ACTIVITY_BIN,EXCLUDED_WELL_FLAG_SUMMARY,REPLICATE_A_WELL_EXCLUDED,REPLICATE_B_WELL_EXCLUDED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 2500 NC (no change): value > 2500,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 3300 NC (no change): value > 3300,Dominant cell type migration binning classification: BEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HMBEC but NOT in MIGRATION_BIN_HDLEC LEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HDLEC but NOT in MIGRATION_BIN_HMBEC COMMON : if IMPAIRED in MIGRATION_BIN_HDLEC AND in MIGRATION_BIN_HMBEC NC (no change) : if NC in both cell types.,Wells are flagged with ONE REP when one of the two replicate wells were excluded,,
1,313053750,,Active,,,,M-009699-00,20,ABCA2,1,A08,0.555805,0.611263,3751.5,5257,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
2,313053751,,Active,,,,M-008205-00,53,ACP2,2,D05,0.393817,0.54164,3008.5,5326,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
3,313053752,,Active,,,,M-006315-01,285,ANGPT2,2,D06,0.533791,0.462008,3416.75,5269,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
4,313053753,,Inactive,,,,M-008719-00,318,NUDT2,1,G03,0.766357,0.925247,3828,5934.5,NC,NC,NC,NC,NC,,,
5,313053754,,Active,,,,M-011572-00,336,APOA2,2,D07,0.439492,0.421826,2693.75,4350.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
6,313053755,,Active,,,,M-003201-04,472,ATM,1,A07,0.517999,0.869041,4361,6154.25,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
7,313053756,,Inactive,,,,M-003104-03,558,AXL,1,A10,0.761822,0.938485,4537.75,6585.25,NC,NC,NC,NC,NC,,,
8,313053757,,Inactive,,,,M-011222-01,662,BNIP1,1,A11,0.672444,0.933362,3778.75,5752.75,NC,NC,NC,NC,NC,,,
9,313053758,,Active,,,,M-003107-01,695,BTK,1,B02,0.883691,0.572195,4177.25,5908.75,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
10,313053759,,Inactive,,,,M-005442-01,728,C5AR1,1,C05,0.673701,0.701339,4236.25,6489,NC,NC,NC,NC,NC,,,
11,313053760,,Inactive,,,,M-016674-00,805,CALM2,1,B04,0.735807,0.949837,3761.75,6068.75,NC,NC,NC,NC,NC,,,
12,313053761,,Active,,,,M-004513-02,873,CBR1,1,B07,0.306929,0.695994,2704,5201.75,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
13,313053762,,Inactive,,,,M-008104-01,943,TNFRSF8,2,G09,0.719543,0.685519,3585,5387.75,NC,NC,NC,NC,NC,,,
14,313053763,,Active,,,,M-005057-01,998,CDC42,2,H02,0.743423,0.246482,4293.5,5191.25,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
15,313053764,,Inactive,,,,M-006707-00,1158,CKM,1,C08,0.738218,0.712543,3856.5,5928.5,NC,NC,NC,NC,NC,,,
16,313053765,,Active,,,,M-006155-00,1186,CLCN7,1,B10,0.19495,0.358455,3130.25,4664.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
17,313053766,,Active,,,,M-007532-01,1318,SLC31A2,2,B06,0.700349,0.265857,3373.25,4546.25,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
18,313053767,,Inactive,,,,M-008385-00,1382,CRABP2,1,B09,0.882063,0.901381,4589.75,6960.5,NC,NC,NC,NC,NC,,,
19,313053768,,Inactive,,,,M-004679-03,1456,CSNK1G3,1,B08,0.699806,1.19545,3815.5,6134,NC,NC,NC,NC,NC,,,
