files	6/
hsa-mir-3128	33
hsa-mir-7-5p	252730
hsa-mir-3658	1
hsa-mir-2467-5p	1
hsa-mir-6883-3p	0
hsa-mir-206	7
hsa-mir-8059	0
hsa-mir-4716-5p	0
hsa-mir-4477a	0
hsa-mir-30c-2-3p	4175
hsa-mir-6780a-5p	5
hsa-mir-644a	2
hsa-mir-4707-5p	0
hsa-mir-3141	0
hsa-mir-3672	0
hsa-mir-4743-3p	0
hsa-mir-518c-3p	0
hsa-mir-5009-3p	0
hsa-mir-4699-5p	0
hsa-mir-4510	209
hsa-mir-4649-5p	0
hsa-mir-361-5p	1480
hsa-mir-548al	4
hsa-mir-1294	6
hsa-mir-585-3p	0
hsa-mir-600	4
hsa-mir-141-5p	0
hsa-mir-4314	1
hsa-mir-200b-5p	122
hsa-mir-3664-5p	0
hsa-mir-3158-3p	170
hsa-mir-4664-3p	24
hsa-mir-345-5p	914
hsa-mir-6845-5p	1
hsa-mir-3919	22
hsa-mir-4742-3p	6
hsa-mir-4781-3p	9
hsa-mir-6747-5p	1
hsa-mir-320b	425
hsa-mir-3139	5
hsa-mir-4524b-5p	0
hsa-mir-1246	1381
hsa-mir-1250-3p	0
hsa-mir-4779	0
hsa-mir-6851-5p	4
hsa-mir-3189-5p	0
hsa-mir-6741-5p	1
hsa-mir-6780a-3p	1
hsa-mir-5693	0
hsa-mir-1292-5p	43
hsa-mir-4659b-3p	0
hsa-mir-3165	5
hsa-mir-181b-2-3p	140
hsa-mir-5706	2
hsa-mir-4640-5p	0
hsa-mir-621	1
hsa-mir-410-3p	14
hsa-mir-135a-3p	201
hsa-mir-580-5p	0
hsa-mir-6814-3p	0
hsa-let-7a-3p	3154
hsa-mir-7106-5p	5
hsa-mir-346	0
hsa-mir-196b-5p	526
hsa-mir-658	1
hsa-mir-5690	2
hsa-mir-6746-5p	0
hsa-mir-4417	0
hsa-mir-3665	1
hsa-mir-6780b-3p	0
hsa-mir-517b-3p	0
hsa-mir-592	6
hsa-mir-4693-3p	0
hsa-mir-552-3p	2
hsa-mir-6833-3p	0
hsa-mir-6802-3p	0
hsa-mir-6745	0
hsa-mir-302c-3p	1387
hsa-mir-559	2
hsa-mir-548h-3p	3
hsa-mir-499a-5p	33
hsa-mir-3688-5p	0
hsa-mir-4667-3p	0
hsa-mir-499b-3p	0
hsa-mir-6746-3p	0
hsa-mir-3907	0
hsa-mir-659-5p	29
hsa-mir-376a-3p	12
hsa-mir-380-5p	2
hsa-mir-4755-5p	1
hsa-mir-548c-5p	2
hsa-mir-561-5p	50
hsa-mir-143-3p	27
hsa-mir-125a-5p	12415
hsa-mir-548o-5p	2
hsa-mir-4693-5p	0
hsa-mir-4488	8
hsa-mir-4640-3p	2
hsa-mir-6788-3p	0
hsa-mir-545-3p	3
hsa-mir-6847-3p	3
hsa-mir-5682	1
hsa-mir-3135a	10
hsa-mir-708-3p	4
hsa-mir-224-5p	5
hsa-mir-4800-3p	0
hsa-mir-98-3p	62
hsa-mir-92b-5p	270
hsa-mir-8073	0
hsa-mir-1973	6
hsa-mir-4495	0
hsa-mir-328-3p	444
hsa-mir-8080	0
hsa-mir-624-3p	0
hsa-mir-500b-5p	590
hsa-mir-937-3p	52
hsa-mir-449c-3p	0
hsa-mir-548au-5p	3
hsa-mir-4455	1
hsa-mir-4733-3p	0
hsa-mir-30c-5p	65044
hsa-mir-579-3p	6
hsa-mir-5196-3p	0
hsa-mir-513a-5p	0
hsa-mir-676-3p	8
hsa-mir-4296	0
hsa-mir-6729-5p	1
hsa-mir-501-5p	344
hsa-mir-148a-5p	127
hsa-mir-4787-3p	26
hsa-mir-100-3p	38
hsa-mir-151b	169
hsa-mir-614	1
hsa-mir-7705	26
hsa-mir-1268b	209
hsa-mir-381-5p	1
hsa-mir-148a-3p	32789
hsa-mir-627-5p	10
hsa-mir-6728-3p	0
hsa-mir-4468	0
hsa-mir-4797-3p	8
hsa-mir-301a-5p	70
hsa-let-7b-5p	18320
hsa-mir-19a-3p	2006
hsa-mir-4717-3p	3
hsa-mir-615-5p	8
hsa-mir-101-3p	55645
hsa-mir-625-5p	21
hsa-mir-6849-3p	1
hsa-mir-4653-5p	1
hsa-mir-4728-3p	4
hsa-mir-487a-5p	1
hsa-mir-32-5p	3357
hsa-mir-29a-5p	223
hsa-mir-6739-5p	0
hsa-mir-5002-5p	0
hsa-mir-1908-3p	2
hsa-mir-548m	2
hsa-mir-193b-5p	35
hsa-mir-412-5p	1
hsa-mir-6769b-3p	0
hsa-mir-6768-5p	0
hsa-mir-1273g-5p	1
hsa-mir-4666b	1
hsa-mir-5189-5p	2
hsa-mir-3605-3p	86
hsa-mir-8069	0
hsa-mir-190a-3p	1
hsa-mir-4513	0
hsa-mir-939-5p	19
hsa-mir-6837-5p	0
hsa-mir-3157-5p	1
hsa-mir-3074-3p	4
hsa-mir-331-5p	234
hsa-mir-6842-3p	4
hsa-mir-4476	1
hsa-mir-4700-5p	1
hsa-mir-6777-3p	0
hsa-mir-548t-3p	0
hsa-mir-5699-3p	7
hsa-mir-548at-5p	0
hsa-mir-4259	0
hsa-mir-6129	31
hsa-mir-374b-3p	8
hsa-mir-515-5p	0
hsa-mir-372-5p	0
hsa-mir-6812-3p	1
hsa-mir-99b-3p	1535
hsa-mir-548ai	0
hsa-mir-4726-5p	3
hsa-mir-583	0
hsa-mir-424-3p	3620
hsa-mir-3960	21
hsa-mir-6794-3p	7
hsa-mir-196a-5p	656
hsa-mir-512-3p	0
hsa-mir-4764-5p	2
hsa-mir-4712-3p	0
hsa-mir-450b-3p	0
hsa-mir-3153	0
hsa-mir-144-5p	4
hsa-mir-3939	1
hsa-mir-377-5p	4
hsa-mir-2355-3p	18
hsa-mir-4652-3p	2
hsa-mir-4792	13
hsa-mir-7853-5p	1
hsa-mir-5000-3p	11
hsa-mir-4695-3p	1
hsa-mir-6888-5p	0
hsa-mir-6810-5p	1
hsa-mir-1909-3p	4
hsa-mir-6874-5p	0
hsa-mir-4755-3p	1
hsa-mir-5187-5p	1
hsa-mir-376c-3p	16
hsa-mir-518c-5p	0
hsa-mir-3944-5p	0
hsa-mir-6133	3
hsa-mir-221-5p	15520
hsa-mir-548y	120
hsa-mir-4782-3p	1
hsa-mir-378d	1040
hsa-mir-4687-3p	4
hsa-mir-5187-3p	0
hsa-mir-4649-3p	0
hsa-let-7g-5p	104729
hsa-mir-934	3
hsa-mir-4677-5p	6
hsa-mir-6749-5p	0
hsa-mir-548g-5p	0
hsa-mir-3910	0
hsa-mir-6849-5p	0
hsa-mir-3675-5p	94
hsa-mir-134-5p	161
hsa-mir-5581-3p	8
hsa-mir-652-5p	62
hsa-mir-1180-5p	0
hsa-mir-4324	29
hsa-mir-567	29
hsa-mir-95-5p	0
hsa-mir-1913	3
hsa-mir-3653-3p	22
hsa-mir-3160-5p	0
hsa-mir-181d-5p	1488
hsa-mir-1269a	0
hsa-mir-330-3p	1858
hsa-mir-373-5p	0
hsa-mir-578	0
hsa-mir-1323	0
hsa-mir-4762-3p	3
hsa-mir-92b-3p	10424
hsa-mir-4433a-5p	0
hsa-mir-4323	4
hsa-mir-4725-3p	12
hsa-mir-4662b	1
hsa-mir-219a-5p	16
hsa-mir-6824-3p	1
hsa-mir-4273	0
hsa-mir-210-3p	3604
hsa-mir-589-3p	16
hsa-mir-147b	2126
hsa-mir-126-3p	9986
hsa-mir-483-3p	69
hsa-mir-182-5p	228980
hsa-mir-6775-3p	0
hsa-mir-29a-3p	49950
hsa-mir-6818-3p	5
hsa-mir-664b-3p	79
hsa-mir-4713-5p	14
hsa-mir-6797-3p	3
hsa-mir-143-5p	0
hsa-mir-98-5p	5074
hsa-mir-3129-3p	25
hsa-mir-3682-5p	0
hsa-mir-4639-5p	0
hsa-mir-7151-5p	1
hsa-mir-548aj-3p	0
hsa-mir-3169	0
hsa-mir-5090	4
hsa-mir-4523	0
hsa-mir-301a-3p	49
hsa-mir-4304	0
hsa-mir-6515-3p	0
hsa-mir-202-5p	6
hsa-mir-505-5p	7
hsa-mir-5582-3p	14
hsa-mir-21-5p	11621044
hsa-mir-532-3p	485
hsa-mir-4795-3p	0
hsa-mir-190b	3
hsa-mir-4764-3p	0
hsa-mir-4329	0
hsa-mir-642a-3p	3
hsa-mir-6894-5p	5
hsa-mir-7846-3p	0
hsa-mir-1228-5p	1
hsa-mir-3691-5p	11
hsa-mir-1273f	39
hsa-mir-371a-3p	1
hsa-mir-145-5p	0
hsa-mir-548bb-3p	0
hsa-mir-885-3p	0
hsa-mir-4484	29
hsa-mir-2355-5p	2
hsa-mir-708-5p	10
hsa-mir-4320	0
hsa-mir-7154-3p	0
hsa-mir-378i	73
hsa-mir-4504	9
hsa-mir-342-3p	2
hsa-mir-490-3p	0
hsa-mir-153-3p	225
hsa-mir-5191	1
hsa-mir-3940-5p	1
hsa-mir-4682	0
hsa-mir-1827	7
hsa-mir-23b-3p	2787
hsa-mir-924	0
hsa-mir-3972	0
hsa-mir-6767-5p	1
hsa-mir-34b-5p	0
hsa-mir-3928-3p	16
hsa-mir-4786-5p	1
hsa-mir-4758-5p	3
hsa-mir-3652	1
hsa-mir-615-3p	740
hsa-mir-3661	3
hsa-mir-203b-5p	0
hsa-mir-4289	10
hsa-mir-4788	0
hsa-mir-2276-3p	14
hsa-mir-1224-3p	1
hsa-mir-4804-3p	0
hsa-mir-1273h-3p	0
hsa-mir-6761-3p	0
hsa-mir-4282	0
hsa-mir-4695-5p	0
hsa-mir-3937	0
hsa-mir-6869-3p	0
hsa-mir-8084	1
hsa-mir-4436b-5p	0
hsa-mir-641	80
hsa-mir-6791-3p	0
hsa-mir-6846-5p	0
hsa-mir-6813-3p	0
hsa-mir-450b-5p	1434
hsa-mir-3678-5p	3
hsa-mir-6759-3p	0
hsa-mir-6853-3p	1
hsa-mir-4463	1
hsa-mir-296-3p	2
hsa-mir-4276	0
hsa-mir-8066	1
hsa-mir-635	1
hsa-mir-3613-5p	725
hsa-mir-216a-3p	0
hsa-mir-181b-3p	167
hsa-mir-5591-5p	0
hsa-mir-4715-5p	0
hsa-mir-940	17
hsa-mir-92a-3p	152940
hsa-mir-1265	0
hsa-mir-4753-3p	1
hsa-mir-544a	4
hsa-mir-1910-5p	5
hsa-mir-5580-5p	0
hsa-mir-548at-3p	0
hsa-mir-374a-5p	1028
hsa-let-7i-3p	1024
hsa-mir-136-3p	0
hsa-mir-6838-5p	1
hsa-mir-610	1
hsa-mir-5095	25
hsa-mir-194-5p	417
hsa-mir-653-5p	1126
hsa-mir-449c-5p	401
hsa-mir-650	2
hsa-mir-5787	0
hsa-mir-1252-5p	0
hsa-mir-6826-3p	0
hsa-mir-639	4
hsa-mir-3127-3p	2
hsa-mir-7157-5p	0
hsa-mir-3182	1606
hsa-mir-3188	2
hsa-mir-6824-5p	2
hsa-mir-548i	0
hsa-mir-548ba	1
hsa-mir-34a-5p	2151
hsa-mir-320a	19873
hsa-mir-137	377
hsa-mir-502-3p	1026
hsa-mir-4676-3p	3
hsa-mir-6132	0
hsa-mir-548b-5p	8
hsa-mir-759	1
hsa-mir-1179	4
hsa-mir-4438	0
hsa-mir-133b	15
hsa-mir-556-5p	1
hsa-mir-587	0
hsa-mir-888-3p	0
hsa-mir-6124	0
hsa-mir-378b	733
hsa-mir-877-5p	999
hsa-mir-3198	2
hsa-mir-450a-1-3p	3
hsa-mir-3942-3p	0
hsa-mir-503-3p	14
hsa-mir-618	0
hsa-mir-548aj-5p	1
hsa-mir-1302	9
hsa-mir-548p	5
hsa-mir-1-3p	27118
hsa-mir-6776-3p	0
hsa-mir-6837-3p	4
hsa-mir-6770-5p	1
hsa-mir-411-3p	14
hsa-mir-410-5p	1
hsa-mir-4691-3p	0
hsa-mir-550a-3-5p	9
hsa-mir-921	7
hsa-mir-215-5p	82
hsa-mir-5189-3p	1
hsa-mir-6881-3p	0
hsa-mir-324-3p	176
hsa-mir-3064-3p	0
hsa-mir-4432	0
hsa-mir-6847-5p	4
hsa-mir-409-3p	416
hsa-mir-106b-3p	12650
hsa-mir-4658	0
hsa-mir-1229-3p	7
hsa-mir-96-5p	12906
hsa-mir-7855-5p	0
hsa-mir-6815-3p	1
hsa-mir-6783-3p	4
hsa-mir-491-5p	8
hsa-mir-3918	2
hsa-mir-95-3p	579
hsa-mir-508-3p	2
hsa-mir-563	0
hsa-mir-302a-5p	14661
hsa-mir-1226-5p	10
hsa-mir-4420	0
hsa-mir-3926	0
hsa-mir-660-5p	2405
hsa-mir-744-3p	15
hsa-mir-4746-5p	158
hsa-mir-139-3p	219
hsa-mir-4445-3p	0
hsa-mir-33a-5p	41
hsa-mir-4772-3p	0
hsa-mir-5088-5p	1
hsa-mir-6851-3p	0
hsa-mir-500b-3p	42
hsa-mir-5694	0
hsa-mir-5580-3p	0
hsa-mir-4690-3p	18
hsa-mir-6839-3p	0
hsa-mir-542-3p	1135
hsa-mir-4516	3
hsa-mir-1324	0
hsa-mir-6762-3p	1
hsa-mir-5697	2
hsa-mir-450a-5p	833
hsa-mir-5004-3p	2
hsa-mir-6740-3p	0
hsa-mir-4750-5p	3
hsa-mir-1538	1
hsa-mir-8052	0
hsa-mir-4778-5p	0
